stabbr,zip
NY,10023
NY,10024
NY,10025
NY,10027
NY,10029
NY,10031
NY,10032
NY,10033
NY,10035
NY,10036
NY,10038
NY,10065
NY,10075
NY,10115
NY,10118
NY,10122
NY,10281
NY,10301
NY,10306
NY,10311
NY,10314
NY,10451
NY,10453
NY,10458
NY,10462
NY,10465
NY,10468
NY,10471
NY,10522
NY,10523
NY,10528
NY,10549
NY,10550
NY,10562
NY,10566
NY,10577
NY,10591
NY,10595
NY,10598
NY,10604
NY,10606
NY,10701
NY,10704
NY,10707
NY,10708
NY,10801
NY,10805
NY,10901
NY,10924
NY,10940
NY,10950
NY,10952
NY,10954
NY,10960
NY,10962
NY,10976
NY,10977
NY,10994
NY,10996
NY,11024
NY,11030
NY,11101
NY,11103
NY,11106
NY,11201
NY,11203
NY,11204
NY,11205
NY,11209
NY,11210
NY,11211
NY,11213
NY,11214
NY,11218
NY,11219
NY,11220
NY,11223
NY,11225
NY,11229
NY,11230
NY,11235
NY,11236
NY,11354
NY,11355
NY,11357
NY,11364
NY,11367
NY,11369
NY,11372
NY,11374
NY,11375
NY,11385
NY,11418
NY,11432
NY,11433
NY,11439
NY,11451
NY,11501
NY,11530
NY,11542
NY,11548
NY,11549
NY,11550
NY,11553
NY,11559
NY,11561
NY,11568
NY,11571
NY,11580
NY,11691
NY,11701
NY,11714
NY,11716
NY,11717
NY,11724
NY,11726
NY,11735
NY,11743
NY,11746
NY,11747
NY,11749
NY,11756
NY,11768
NY,11769
NY,11772
NY,11784
NY,11788
NY,11791
NY,11794
NY,11801
NY,11901
NY,12020
NY,12043
NY,12065
NY,12095
NY,12110
NY,12180
NY,12203
NY,12204
NY,12205
NY,12206
NY,12208
NY,12211
NY,12222
NY,12246
NY,12304
NY,12305
NY,12308
NY,12466
NY,12484
NY,12493
NY,12504
NY,12507
NY,12534
NY,12538
NY,12550
NY,12561
NY,12601
NY,12604
NY,12754
NY,12759
NY,12779
NY,12801
NY,12804
NY,12839
NY,12860
NY,12866
NY,12901
NY,12970
NY,12983
NY,13021
NY,13026
NY,13035
NY,13045
NY,13053
NY,13088
NY,13090
NY,13114
NY,13126
NY,13148
NY,13202
NY,13203
NY,13207
NY,13210
NY,13211
NY,13214
NY,13215
NY,13244
NY,13323
NY,13346
NY,13350
NY,13357
NY,13408
NY,13478
NY,13501
NY,13502
NY,13503
NY,13601
NY,13617
NY,13676
NY,13699
NY,13753
NY,13790
NY,13815
NY,13820
NY,13850
NY,13901
NY,13905
NY,14006
NY,14020
NY,14052
NY,14063
NY,14068
NY,14075
NY,14094
NY,14109
NY,14120
NY,14127
NY,14132
NY,14150
NY,14201
NY,14203
NY,14208
NY,14210
NY,14214
NY,14220
NY,14221
NY,14222
NY,14223
NY,14224
NY,14225
NY,14226
NY,14228
NY,14260
NY,14304
NY,14420
NY,14424
NY,14454
NY,14456
NY,14478
NY,14513
NY,14606
NY,14607
NY,14612
NY,14617
NY,14618
NY,14620
NY,14621
NY,14623
NY,14624
NY,14626
NY,14627
NY,14701
NY,14744
NY,14760
NY,14778
NY,14802
NY,14830
NY,14843
NY,14850
NY,14853
NY,14901
NY,14903
NY,14905
PA,15003
PA,15010
PA,15061
PA,15062
PA,15068
PA,15071
PA,15084
PA,15108
PA,15122
PA,15131
PA,15132
PA,15136
PA,15146
PA,15202
PA,15205
PA,15206
PA,15208
PA,15213
PA,15214
PA,15216
PA,15219
PA,15220
PA,15222
PA,15224
PA,15226
PA,15229
PA,15232
PA,15233
PA,15235
PA,15237
PA,15238
PA,15260
PA,15276
PA,15282
PA,15301
PA,15317
PA,15370
PA,15401
PA,15419
PA,15456
PA,15465
PA,15501
PA,15537
PA,15601
PA,15650
PA,15697
PA,15701
PA,15705
PA,15717
PA,15801
PA,15840
PA,15851
PA,15902
PA,15904
PA,15905
PA,15931
PA,15940
PA,16001
PA,16002
PA,16003
PA,16046
PA,16057
PA,16101
PA,16105
PA,16125
PA,16127
PA,16137
PA,16143
PA,16146
PA,16172
PA,16201
PA,16214
PA,16226
PA,16254
PA,16301
PA,16335
PA,16354
PA,16428
PA,16444
PA,16501
PA,16502
PA,16506
PA,16508
PA,16509
PA,16541
PA,16546
PA,16563
PA,16565
PA,16601
PA,16602
PA,16630
PA,16652
PA,16701
PA,16801
PA,16802
PA,16823
PA,16830
PA,16933
PA,17003
PA,17013
PA,17022
