"","ID_IPEDS","year","degree_bach","public","enroll_ftug","grant_state","grant_federal"
"15866",392798,2014,0,0,3,3811.5,0
"15867",461564,2014,0,0,16,62192.363904,0
"15868",461564,2013,0,0,23,67992.6,0
"15869",221157,2010,0,0,186,657546.716028,5580
"15870",392798,2015,0,0,3,6771.69,0
"15871",392798,2013,0,0,6,20321.388498,0
"15872",368452,2014,1,0,81,107775.410625,7029.6428259
"15873",221157,2015,0,0,138,582320.866512,9660
"15874",467623,2011,0,0,68,263873.248668,0
"15875",368452,2010,1,0,115,182498.30056,6900
"15876",448664,2013,0,0,100,383390.0048,667
"15877",448664,2014,0,0,94,379099.779344,3760
"15878",221157,2014,0,0,148,706443.818808,4440
"15879",392798,2010,0,0,28,105225.68,0
"15880",467623,2013,0,0,47,198860.599119,0
"15881",467623,2014,0,0,45,165541.9932,0
"15882",368452,2015,1,0,62,117760.899824,11160
"15883",368452,2011,1,0,90,108765,6300
"15884",368452,2012,1,0,92,160487.376,9200
"15885",368452,2013,1,0,83,103570.92086,4150
"15886",444255,2010,1,0,315,1230272.27568,56954.9547
"15887",444255,2014,1,0,10,38638,10257
"15888",444255,2013,1,0,21,59165.715,2101.05
"15889",444255,2011,1,0,153,587893.937202,17526.428766
"15890",444255,2012,1,0,14,57139.83534,0
"15891",444255,2015,1,0,42,175034.050506,2448.6
"15892",221102,2014,0,1,446,626065.102644,343373.047796
"15893",221102,2010,0,1,457,655524.918941,431545.087204
"15894",221102,2011,0,1,497,804638.013102,481655.35362
"15895",221102,2012,0,1,510,885242.6235,536629.02678
"15896",221102,2013,0,1,493,728680.458324,393611.42185
"15897",460710,2014,0,0,19,46512,0
"15898",221102,2015,0,1,424,786401.28,672718.308416
"15899",460710,2013,0,0,22,44553.9985,0
"15900",460710,2011,0,0,77,223702.068128,0
"15901",460710,2012,0,0,26,76634.555998,0
"15902",220978,2012,1,1,3068,7403196.448336,12904685.635296
"15903",220978,2010,1,1,3793,9681675.85399,14295880.7224
"15904",220978,2013,1,1,3129,7670559.752604,13201935.03069
"15905",220978,2015,1,1,2793,6939453.605301,10782029.49768
"15906",220978,2011,1,1,3466,7967266.9919,14620161.34572
"15907",220978,2014,1,1,3036,7213860.615192,13050980.481264
"15908",484598,2014,0,0,13,33843.94,0
"15909",484598,2015,0,0,6,12877.0005,0
"15910",446075,2015,0,0,4,14214,0
"15911",221494,2014,0,1,390,513103.56552,424352.86608
"15912",446075,2011,0,0,18,65286,0
"15913",446075,2012,0,0,15,66963.56418,0
"15914",446075,2010,0,0,26,110373.455088,10270
"15915",446075,2013,0,0,8,33694,0
"15916",446075,2014,0,0,11,45715.67,0
"15917",221494,2013,0,1,440,476051.81316,556208.26976
"15918",221494,2011,0,1,621,594619.6095,624911.847912
"15919",221494,2012,0,1,464,501934.585872,582781.9584
"15920",221494,2015,0,1,509,974096.982243,619621.220428
"15921",221494,2010,0,1,531,508161.8493,533633.76
"15922",446525,2013,0,0,39,66613.213134,0
"15923",220464,2010,0,0,19,30282.492904,15622.539385
"15924",446525,2012,0,0,52,160822.807236,2080
"15925",220464,2013,0,0,21,36037.68,17745.750792
"15926",220464,2012,0,0,18,53490.565476,31565.16
"15927",446525,2010,0,0,182,451530.81064,11528.79
"15928",220464,2011,0,0,17,38945.866168,31427.2625
"15929",446525,2015,0,0,61,204627.267936,25416.66565
"15930",446525,2014,0,0,64,163415.291392,3840
"15931",220464,2015,0,0,15,34194.9987,66313.2
"15932",446525,2011,0,0,170,371209.297,5666.95
"15933",220464,2014,0,0,11,25944.417675,32601.8
"15934",219976,2015,1,0,662,698332.702232,1298830.4952
"15935",219976,2010,1,0,668,1157439.336824,1693536.930568
"15936",219976,2012,1,0,670,721233.58814,1561845.49895
"15937",219976,2014,1,0,626,560883.99019,1436506.953918
"15938",219976,2011,1,0,629,787583.699521,1585108.384254
"15939",219976,2013,1,0,683,695526.327231,1545415.020198
"15940",219578,2010,1,0,17,52414.174835,55430.625
"15941",219578,2013,1,0,34,56093.668384,80534.66916
"15942",219578,2014,1,0,29,65427.67836,42528.5
"15943",220206,2013,1,0,62,179829.228474,68944.00248
"15944",220206,2014,1,0,51,119748.356235,32742
"15945",219578,2015,1,0,29,37671.098165,32480.001015
"15946",220206,2012,1,0,60,133507.0011,98505
"15947",219578,2012,1,0,18,32425.0002,66284.266032
"15948",219578,2011,1,0,20,37684,75838.0012
"15949",220206,2015,1,0,44,99399.774144,55620.18198
"15950",220206,2010,1,0,44,64409.4,59840
"15951",220206,2011,1,0,54,128383.762104,48109.09032
"15952",221148,2015,0,0,429,1119384.14016,8580
"15953",221148,2014,0,0,439,1326904.195151,7902
"15954",221148,2010,0,0,1639,5031665.698752,31141
"15955",221148,2013,0,0,581,1896144.131826,31955.001162
"15956",221148,2011,0,0,922,2542268.14845,16596
"15957",221148,2012,0,0,1165,3784182.7308,22135
"15958",219505,2012,1,0,16,33589.332832,960
"15959",219505,2015,1,0,13,71002.0012,4875
"15960",219505,2011,1,0,14,42988.089088,0
"15961",219505,2013,1,0,15,50779.63701,2100
"15962",219505,2010,1,0,8,19625,1040
"15963",219505,2014,1,0,11,62507.9994,19108.570624
"15964",220181,2010,1,0,194,594526.431202,224121.05692
"15965",220181,2012,1,0,221,699234.873584,218004.857941
"15966",220181,2013,1,0,217,610000.124377,187256.039152
"15967",220181,2011,1,0,122,389287.17212,97599.99756
"15968",220181,2015,1,0,208,609329.966336,139017.645104
"15969",461564,2011,0,0,50,266400,0
"15970",461564,2012,0,0,38,175049.722776,0
"15971",220181,2014,1,0,221,648000.355184,150326.158944
"15972",221184,2011,0,1,875,2976461.016375,547694.464625
"15973",221184,2013,0,1,844,3057295.16394,630982.024696
"15974",403414,2013,0,0,5,24463.0005,0
"15975",221184,2010,0,1,889,2756574.694104,437694.493418
"15976",221838,2014,1,1,1378,4942255.066164,2131667.912582
"15977",221838,2012,1,1,1017,3826336.785579,1725268.331646
"15978",221184,2015,0,1,1798,5667935.298678,3647330.127484
"15979",403414,2014,0,0,2,9550,0
"15980",221184,2014,0,1,1043,4072571.919752,1003622.624935
"15981",443359,2014,0,0,132,376499.9964,0
"15982",221838,2011,1,1,1144,4523334.802272,1841922.420624
"15983",403414,2012,0,0,2,8055,0
"15984",443359,2015,0,0,67,183412.5,0
"15985",248925,2014,0,1,668,1549693.202672,738970.166352
"15986",221838,2015,1,1,1397,5462979.233151,2022379.213679
"15987",443359,2012,0,0,151,407720.7625,0
"15988",221838,2013,1,1,1326,4972816.481724,2228245.385184
"15989",248925,2010,0,1,599,2058225.446019,1024620.63602
"15990",443359,2011,0,0,126,389391.9876,0
"15991",443359,2010,0,0,115,338183.71172,0
"15992",221838,2010,1,1,1291,5661721.812,2054962.255534
"15993",248925,2011,0,1,647,2424826.219564,967984.762914
"15994",443359,2013,0,0,146,378651,0
"15995",248925,2013,0,1,666,1934717.66568,748496.602152
"15996",221184,2012,0,1,825,2868923.29185,568669.69005
"15997",403414,2011,0,0,4,13204,0
"15998",248925,2012,0,1,573,1662545.389302,728110.59576
"15999",403414,2010,0,0,11,30739.157878,0
"16000",248925,2015,0,1,775,1801720.37355,1111535.895375
"16001",221892,2015,1,0,354,580436.83278,712079.208198
"16002",221892,2011,1,0,262,447128.807,555131.115886
"16003",221892,2012,1,0,234,416895.722334,564171.9993
"16004",221892,2010,1,0,241,559146.438664,499070.860245
"16005",221892,2013,1,0,245,396849.76373,573309.98375
"16006",221892,2014,1,0,318,594694.497276,718588.50504
"16007",482617,2015,1,0,6,30618.999,0
"16008",388043,2014,0,0,10,44985,0
"16009",388043,2015,0,0,25,141635.9975,0
"16010",452124,2010,0,0,194,404592.347222,95350.405584
"16011",452124,2011,0,0,85,386040.78125,14702.45
"16012",388043,2010,0,0,36,169688.439648,31059.270396
"16013",452124,2014,0,0,68,246469.889328,10712.266576
"16014",452124,2012,0,0,59,284912.696604,5868.14
"16015",388043,2013,0,0,43,208970.401024,0
"16016",440110,2011,0,0,171,334313.72271,1710
"16017",440110,2012,0,0,174,591546.31056,0
"16018",440110,2010,0,0,509,1985125.726896,32998.68887
"16019",452124,2015,0,0,45,215645.0121,4080.6
"16020",388043,2012,0,0,33,175021.678788,4957.92
"16021",388043,2011,0,0,46,234471.82031,1226.36
"16022",452124,2013,0,0,67,291946.483668,9924.375
"16023",219709,2013,1,0,1243,1029101.86269,1443350.143334
"16024",219709,2010,1,0,1015,843533.903275,1366074.88276
"16025",219709,2014,1,0,1392,1251826.023168,1614794.641824
"16026",219709,2011,1,0,1153,848087.031939,1550794.251672
"16027",219709,2015,1,0,1387,1018590.24738,1360596.269088
"16028",219709,2012,1,0,1254,823251.70224,1515613.77495
"16029",442170,2010,1,0,145,649899.234325,0
"16030",446817,2011,1,0,34,129349.07096,2040
"16031",442170,2012,1,0,148,609866.530104,0
"16032",483887,2014,0,0,36,51002.58312,14715
"16033",445249,2013,0,0,82,351960.63903,19710.704244
"16034",442170,2011,1,0,204,882791.41662,0
"16035",481340,2013,0,0,38,55720.78529,0
"16036",483887,2015,0,0,22,51841.386168,0
"16037",220002,2015,1,0,37,180241.857757,2466.975
"16038",446817,2010,1,0,98,350466.280528,5227.32
"16039",445249,2015,0,0,61,211335.85664,0
"16040",481340,2014,0,0,15,31543.71348,0
"16041",446817,2012,1,0,19,78384.5,0
"16042",445249,2014,0,0,139,499726.545,14107.11
"16043",445249,2012,0,0,110,384896.43291,8433.7
"16044",445249,2011,0,0,149,541514.629726,31440.986766
"16045",151494,2014,1,0,73,260911.25275,0
"16046",484747,2014,1,0,23,86232.328686,0
"16047",450535,2012,1,0,7,36382.0009,0
"16048",151494,2013,1,0,50,178524,0
"16049",445249,2010,0,0,137,580878.15324,28218.2325
"16050",449010,2014,1,0,190,717845.95818,221892.05936
"16051",449010,2015,1,0,209,703831.814224,240141.769956
"16052",450535,2010,1,0,10,37576,0
"16053",151494,2012,1,0,55,159077.68822,2200
"16054",151494,2011,1,0,71,248616.59336,2840.355
"16055",450535,2015,1,0,2,7219,0
"16056",450535,2011,1,0,16,67932.981248,0
"16057",151494,2010,1,0,99,406418.37786,660.33
"16058",449010,2013,1,0,293,1014032.523808,364463.872
"16059",450535,2014,1,0,7,36751.9992,3528
"16060",484747,2015,1,0,1,6275,0
"16061",449010,2011,1,0,247,719213.594463,251217.785832
"16062",481340,2015,0,0,19,8410.667072,0
"16063",449010,2010,1,0,255,960723.147015,326330.49312
"16064",450535,2013,1,0,7,23603.416466,0
"16065",449010,2012,1,0,238,748184.449082,266742.020496
"16066",220002,2010,1,0,208,511823.471536,33284.160624
"16067",220002,2011,1,0,26,123967.336896,1040
"16068",246202,2014,0,0,208,526547.94296,10443.263584
"16069",220002,2014,1,0,4,9645,5250
"16070",220002,2013,1,0,13,51350,2080
"16071",220002,2012,1,0,10,25755,0
"16072",246202,2010,0,0,348,1178846.985624,11310
"16073",246202,2015,0,0,483,1687428.95076,55650.493962
"16074",246202,2012,0,0,183,587254.609872,1218.78
"16075",246202,2011,0,0,219,801955.745658,14174.775
"16076",246202,2013,0,0,183,582957.427296,0
"16077",392840,2010,1,0,49,165668.131426,130848.842558
"16078",392840,2014,1,0,49,64711.813005,73471.278454
"16079",392840,2013,1,0,53,76812.25552,62590.47508
"16080",392840,2012,1,0,47,121109.717547,82868.4166
"16081",392840,2011,1,0,73,69907.78716,76135.450594
"16082",392840,2015,1,0,43,58972.763445,77308.234689
"16083",221999,2013,1,0,1613,1152934.713868,792081.823671
"16084",221999,2014,1,0,1604,1061875.48454,663171.04112
"16085",221999,2011,1,0,1600,1081075.408,947292.3328
"16086",221999,2010,1,0,1600,2188812.832,1144391.5184
"16087",221999,2012,1,0,1608,1071169.0392,792694.045872
"16088",221999,2015,1,0,1607,1272886.534472,750877.928469
"16089",221731,2013,1,0,208,389545.42848,733123.772784
"16090",221731,2014,1,0,197,468857.27746,802774.54296
"16091",221731,2015,1,0,212,435361.08,702072.999928
"16092",221731,2010,1,0,218,607462.279088,889567.312
"16093",221731,2011,1,0,206,367814.66139,741661.70112
"16094",221731,2012,1,0,218,479277.112134,866082.023324
"16095",220613,2015,1,0,826,1363195.874852,1677546.688244
"16096",220613,2013,1,0,808,1190992.85648,1730452.159296
"16097",221980,2010,0,0,25,42174.9988,0
"16098",221980,2012,0,0,5,11100,0
"16099",220613,2014,1,0,746,1075728.216288,1465168.9164
"16100",220613,2010,1,0,851,1610469.46956,1615803.378423
"16101",220613,2011,1,0,870,1360517.27085,1628472.65376
"16102",221980,2011,0,0,5,11100,0
"16103",221980,2014,0,0,10,57300,0
"16104",220613,2012,1,0,846,1346793.466392,1822077.43218
"16105",221980,2013,0,0,6,10989,0
"16106",404718,2010,0,0,113,362816.212785,0
"16107",404718,2013,0,0,51,121339.613916,0
"16108",404718,2012,0,0,54,162030.639384,0
"16109",404718,2011,0,0,80,188687.63376,0
"16110",404718,2014,0,0,42,88157.16,0
"16111",219879,2014,0,1,708,1806671.7273,1220689.4739
"16112",219879,2015,0,1,768,1919942.890752,1915297.772544
"16113",219879,2012,0,1,687,1842280.645392,1021819.965222
"16114",219879,2013,0,1,689,1972660.119144,1145117.250368
"16115",219879,2011,0,1,746,2072830.912136,944025.582132
"16116",404718,2015,0,0,17,47314.033548,0
"16117",219879,2010,0,1,645,1836770.609295,728106.181485
"16118",221661,2013,1,0,480,844590.72384,317625.012
"16119",221661,2011,1,0,638,957614.080104,504752.301504
"16120",221661,2014,1,0,553,877377.767273,426000.700944
"16121",221661,2015,1,0,535,793278.291135,352586.80125
"16122",221661,2012,1,0,557,920731.032684,404088.313952
"16123",221661,2010,1,0,613,1069515.569252,418266.0832
"16124",219790,2011,1,0,234,464560.5276,662585.64489
"16125",219790,2012,1,0,195,354479.932755,542660.66634
"16126",219790,2013,1,0,187,430560.750048,599870.177544
"16127",219790,2015,1,0,164,301288.69024,452723.25952
"16128",219790,2014,1,0,188,377573.703632,532264.716588
"16129",219790,2010,1,0,233,572845.919008,683110.559175
"16130",220163,2015,0,0,24,66654.380544,0
"16131",220163,2013,0,0,32,89924.5536,0
"16132",220163,2012,0,0,22,34983.63,0
"16133",220163,2014,0,0,19,43892.992899,0
"16134",220163,2010,0,0,34,75870.933632,0
"16135",220163,2011,0,0,39,108745.472784,0
"16136",220312,2014,1,0,83,318151.27404,220479.61304
"16137",220312,2013,1,0,82,250003.966602,203524.5576
"16138",220312,2015,1,0,91,253305.436202,215499.451167
"16139",220312,2011,1,0,79,306124.29769,141871.72498
"16140",220312,2012,1,0,88,278871.67616,201883.93676
"16141",220312,2010,1,0,57,179069.21298,63077.625
"16142",458007,2014,0,0,62,250098.130716,0
"16143",458007,2011,0,0,65,164827.73957,0
"16144",458007,2013,0,0,54,170783.0028,0
"16145",458007,2015,0,0,104,213085.166528,0
"16146",458007,2012,0,0,78,255863.905752,0
"16147",458007,2010,0,0,78,271886.214288,0
"16148",219596,2013,0,1,175,597982.64995,371030.281125
"16149",219596,2010,0,1,252,449711.293248,386527.098132
"16150",219596,2014,0,1,170,460856.9882,326968.90772
"16151",219596,2011,0,1,265,444919.2855,341469.408855
"16152",219596,2012,0,1,185,586490.5224,328959.933
"16153",219596,2015,0,1,232,502581.597216,440300.819288
"16154",221519,2012,1,0,453,462331.8,535501.903824
"16155",221519,2013,1,0,488,485550.23024,459855.521344
"16156",221519,2015,1,0,469,391247.508015,439280.19226
"16157",221519,2014,1,0,466,472602.091814,508447.793676
"16158",221519,2010,1,0,401,367074.18096,430778.26
"16159",221519,2011,1,0,433,395308.353694,534298.16335
"16160",221096,2010,0,1,1009,2250798.756304,963558.974664
"16161",469993,2012,0,0,11,36111.075,2970
"16162",469993,2014,0,0,19,55765.152,0
"16163",221096,2013,0,1,925,1865479.7122,1072125.9601
"16164",221096,2012,0,1,811,1600869.025995,949224.030696
"16165",221096,2011,0,1,994,2113876.525936,1064107.518782
"16166",221096,2015,0,1,1796,3660618.34418,5212181.0739
"16167",221096,2014,0,1,916,1911847.579852,1436059.208848
"16168",469993,2013,0,0,10,39538.999,0
"16169",469993,2011,0,0,19,77833.608965,2850
"16170",469993,2015,0,0,12,35024.34,0
"16171",221740,2015,1,1,1853,2538720.900197,6845559.11685
"16172",221740,2012,1,1,2284,3332314.888,9738431.10612
"16173",221740,2010,1,1,1940,3441997.1887,7716142.5946
"16174",221740,2013,1,1,2335,3497353.134625,10015309.21209
"16175",221740,2011,1,1,2170,3341443.79016,9071619.1839
"16176",221740,2014,1,1,2144,3336751.07696,8892677.809088
"16177",221856,2013,1,0,130,365088.79862,95808.08744
"16178",221856,2012,1,0,95,321229.12875,39425.001615
"16179",221856,2010,1,0,109,340861.47768,21021.427824
"16180",221856,2014,1,0,62,129667.298976,47072.30619
